provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
match:market_reg:accreditation,Prestolee SCITT,Prestolee Multi Academy Trust,10055218,,2AS,accredited,5685,2024-08-01T00:00:00Z,,scitt,Church Road,Radcliffe,,Manchester,,M26 1HJ,53.548445,-2.370915,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100012690669,53.5483669,-2.3708645,original,true,,,PRESTOLEE MULTI ACADEMY TRUST,Prestolee SCITTPrestolee Multi Academy Trust (Academy Trust)
match:market_reg:accreditation,Primary Catholic Partnership SCITT (PCP SCITT),Holy Family Catholic Primary School,10045987,,P85,accredited,5533,2024-08-01T00:00:00Z,,scitt,Mansel Road West,,,Southampton,,SO16 9LP,50.9321675,-1.4669876,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100062511107,50.9321675,-1.4669876,updated,true,provider__legal_name,organisation_name,HOLY FAMILY CATHOLIC PRIMARY SCHOOL - PART OF THE LEARNING FEDERATION PARTNERSHIP OF SCHOOLS,Primary Catholic Partnership SCITT
match:market_reg:accreditation,Prince Henry's and South Worcestershire SCITT,Worcestershire Hills Trust,10032987,,2ET,accredited,5711,2026-08-01T00:00:00Z,,scitt,Victoria Avenue,,,Evesham,,WR11 4QH,52.098898,-1.9416189,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100121278274,52.098898,-1.9416189,updated,true,,,PRINCE HENRY'S HIGH SCHOOL,
match:market_reg:accreditation,REAch Teach Primary Partnership,REAch2 Academy Trust,10060390,100706,1QU,accredited,5729,2024-08-01T00:00:00Z,,scitt,Henhurst Ridge,,,Burton On Trent,,DE13 9TQ,52.8140281,-1.6371359,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,10094374604,52.8140281,-1.6371359,updated,true,address__address_line_1,organisation_name,REACH2 ACADEMY TRUST,REACH2 ACADEMY TRUST (Academy Trust)
match:market_reg:accreditation,Red Kite Teacher Training,Red Kite Learning Trust,10054307,,2B9,accredited,5706,2024-08-01T00:00:00Z,,scitt,Red Kite Learning Trust,Pannal Ash Road,,Harrogate,North Yorkshire,HG2 9PH,53.9780284,-1.5521188,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,53.9780284,-1.5521188,original,,,,RED KITE LEARNING TRUST,Red Kite Learning Trust (Academy Trust)
match:market_reg:accreditation,Ripley ITT,The Bay Learning Trust,10058677,,R23,accredited,5648,2024-08-01T00:00:00Z,,scitt,Ashton Road,,,Lancaster,,LA1 4RS,54.0390665,-2.8007533,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,10009273129,54.0390665,-2.8007533,updated,true,,,THE BAY LEARNING TRUST,THE BAY LEARNING TRUST (Academy Trust)
match:market_reg:accreditation,SCITT in East London Schools (SCITTELS),Colegrave Primary School,10046003,,S17,accredited,5535,2024-08-01T00:00:00Z,,scitt,Henniker Road,,,London,,E15 1JY,51.548543,0.001612,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,10009001075,51.548543,0.001612,updated,true,provider__legal_name,organisation_name,COLEGRAVE PRIMARY SCHOOL,School Centred Initial Teacher Training in East London Schools (SCITTELS)
match:market_reg:accreditation,Sacred Heart Newcastle SCITT,Bishop Bewick Catholic Education Trust,10059424,,2BA,accredited,5705,2024-08-01T00:00:00Z,,scitt,Fenham Hall Drive,"",,Newcastle Upon Tyne,,NE4 9YH,54.98211,-1.659149,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,4510138208,54.9836554,-1.6572924,original,true,,,BISHOP BEWICK CATHOLIC EDUCATION TRUST,BISHOP BEWICK CATHOLIC EDUCATION TRUST (Academy Trust)
match:market_reg:accreditation,Somerset SCITT Consortium,Somerset Council,10005959,,S31,accredited,5538,2024-08-01T00:00:00Z,,scitt,Broughton House,Blackbrook Park Avenue,,Taunton,,TA1 2PX,51.0139743,-3.0692804,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,10002704744,51.0139743,-3.0692804,updated,true,address__address_line_1,address_line_1,SOMERSET COUNCIL,Somerset Council
match:market_reg:accreditation,South Birmingham SCITT,Summit Learning Trust,10058342,,N32,accredited,5611,2024-08-01T00:00:00Z,,scitt,Widney Manor Road,,,Solihull,,B91 3WR,52.4057217,-1.7728004,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100071580044,52.4057217,-1.7728004,updated,true,,,SUMMIT LEARNING TRUST,SUMMIT LEARNING TRUST (Academy Trust)
