provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
unaacredited,Swindon SCITT,,,,S99,unaccredited,,,,school,Plymouth Street,,,Swindon,,SN1 2LB,51.5612526,-1.7723836,,"2021,2020,2019",2021,10026656714,51.5612526,-1.7723836,updated,true,address__address_line_1,organisation_name,,
unaacredited,TEC Partnership,,10007938,,8T2,unaccredited,,,,scitt,Laceby Road,,,Grimsby,,DN34 5BQ,53.5537224,-0.0927651,,2025,2025,11001905,53.5537224,-0.0927651,updated,true,,,TEC PARTNERSHIP,
unaacredited,Talentum learning Trust,,,,2GN,unaccredited,,,,school,Churnet View,,,Leek,,ST13 6PU,53.1157734,-2.0133321,,"2021,2020,2019",2021,100032199013,53.1157734,-2.0133321,updated,true,address__address_line_1,address_line_1,,
unaacredited,Tame Valley Academy,,10039593,139011,227,unaccredited,,,,school,Chillinghome Road,,,Birmingham,,B36 8QJ,52.506649,-1.8148685,,"2021,2020,2019",2021,100071459474,52.506649,-1.8148685,updated,true,provider__operating_name,organisation_name,TAME VALLEY ACADEMY,
unaacredited,Tameside Alliance,,,,2F9,unaccredited,,,,school,Cemetery Road,Denton,,Manchester,,M34 6FG,53.444818,-2.1107658,,"2021,2020,2019",2021,100012836279,53.444818,-2.1107658,updated,true,address__address_line_1,address_line_1,,
unaacredited,Tanglewood Nursery School,,,114698,223,unaccredited,,,,school,Melbourne Avenue,,,Chelmsford,Essex,CM1 2DX,51.7496004,0.4561074,,"2021,2020,2019",2021,,51.7496004,0.4561074,original,,,,,
unaacredited,Tarleton Academy,,10035983,137768,184,unaccredited,,,,school,Hesketh Lane,Tarleton,,Preston,,PR4 6AQ,53.685344,-2.8311858,,"2021,2020,2019",2021,100012755590,53.685344,-2.8311858,updated,true,provider__operating_name,organisation_name,TARLETON ACADEMY,
unaacredited,Tauheedul Islam Girls High School,,,,26K,unaccredited,,,,school,Shadsworth Road,,,Blackburn,,BB1 2HT,53.7538299,-2.5131764,,"2020,2019",2020,100012533629,53.7538299,-2.5131764,updated,true,,,,
unaacredited,Tauheedul Islam Girls High School,,,,3MP,unaccredited,,,,school,Shadsworth Road,,,Blackburn,,BB1 2HT,53.7409442,-2.4515764,,"2022,2021,2020",2022,100012533629,53.7409442,-2.4515764,updated,true,,,,
unaacredited,Teach East London,,,,1FY,unaccredited,,,,school,Stainsbury Street,,,London,,E2 0NF,51.5294443,-0.0483242,missing address__town_or_city,"2021,2020,2019",2021,6038359,51.5294443,-0.0483242,updated,true,address__address_line_1,address_line_1,,
unaacredited,Teach East London Teaching School Alliance,,,,28Z,unaccredited,,,,school,Stainsbury Street,,,London,,E2 0NF,51.5296312,-0.0487641,missing address__town_or_city,"2021,2020,2019",2021,6038359,51.5296312,-0.0487641,updated,true,address__address_line_1,address_line_1,,
unaacredited,Teach Maidenehead,,,,16J,unaccredited,,,,school,Teach Maidenhead,Furze Platt Senior School,,Furze Platt Road,"Maidenhead, Berkshire",SL6 7NQ,51.5361987,-0.7394553,,"2021,2020,2019",2021,,51.5361987,-0.7394553,original,,,,,
unaacredited,Teach North: County Durham,,10042412,139823,2G9,unaccredited,,,,school,Hall Drive,,,Middlesbrough,,TS5 7JY,54.5420546,-1.2440453,,"2023,2022,2021,2020,2019",2023,10023177153,54.5420546,-1.2440453,updated,true,,,OUTWOOD ACADEMY ACKLAM,
unaacredited,Teach North: Nottinghamshire & North Lincolnshire,,,,2X5,unaccredited,,,,school,Outwood Conference Centre,Tenter Balk Lane,,Doncaster,South Yorkshire,DN6 7EQ,53.5669557,-1.1966032,,"2021,2020",2021,,53.5669557,-1.1966032,original,,,,,
unaacredited,Teach North: Teesside,,10042412,139823,3C7,unaccredited,,,,school,Hall Drive,,,Middlesbrough,,TS5 7JY,54.5420546,-1.2440453,,"2023,2022,2021",2023,10023177153,54.5420546,-1.2440453,updated,true,,,OUTWOOD ACADEMY ACKLAM,
unaacredited,Teach SouthEast,,10057399,,1CO,unaccredited,,,,scitt,SJB School,Elmbridge Lane,,Woking,Surrey,GU22 9AL,51.3083055,-0.5488316,,"2021,2020,2019",2021,,51.3083055,-0.5488316,original,,,,XAVIER CATHOLIC EDUCATION TRUST,XAVIER CATHOLIC EDUCATION TRUST (Academy Trust)Teach SouthEast
unaacredited,Teach@SJB,,,,24O,unaccredited,,,,school,St John the Baptist School,Elmbridge Lane,,Woking,Surrey,GU22 9AL,51.3083055,-0.5488316,,"2021,2020,2019",2021,,51.3083055,-0.5488316,original,,,,,
unaacredited,Teach@Salesian,,,,253,unaccredited,,,,school,Guildford Road,,,Chertsey,,KT16 9LU,51.3811736,-0.519996,,"2021,2020,2019",2021,100062364225,51.3811736,-0.519996,updated,true,,,,
unaacredited,Teach@Salesian (Schools Direct),,,,257,unaccredited,,,,school,Guildford Road,,,Chertsey,,KT16 9LU,51.3811736,-0.519996,,"2021,2020,2019",2021,100062364225,51.3811736,-0.519996,updated,true,,,,
unaacredited,Templars Academy,,10056533,142813,4Y2,unaccredited,,,,school,Essex and Thames SCITT,,,Essex,Essex,EX5 5EX,51.8137718,0.6352748,,"2024,2023,2022,2021",2024,,51.8137718,0.6352748,original,,,,TEMPLARS ACADEMY,
unaacredited,Temple Newsam Learning Partnership,,,,27G,unaccredited,,,,school,Meadowfield Primary,Halton Moor Avenue,,Leeds,,LS9 0JY,53.7942292,-1.4901145,,"2021,2020,2019",2021,,53.7942292,-1.4901145,original,,,,,
unaacredited,Temple Primary School,,,,1S1,unaccredited,,,,school,Smedley Lane,,,Manchester,,M8 8SA,53.5034739,-2.231931,,"2021,2020,2019",2021,77005624,53.5034739,-2.231931,updated,true,,,,
unaacredited,Tendring Hundred Primary SCITT (School Direct),,,,1H5,unaccredited,,,,school,Chase Lane,,,Harwich,,CO12 4NB,51.9296975,1.2461194,,"2021,2020,2019",2021,100091461537,51.9296975,1.2461194,updated,true,address__address_line_1,organisation_name,,
